id,tenant_id,code,name,parent_id,manager_employee_id,cost_center_id,external_source,external_department_id,is_active
a0000004-0004-4004-8004-000000000001,a0000001-0001-4001-8001-000000000001,gm,Genel Müdürlük,,,,,,true
a0000004-0004-4004-8004-000000000002,a0000001-0001-4001-8001-000000000001,ik,İnsan Kaynakları,a0000004-0004-4004-8004-000000000001,,,,,true
a0000004-0004-4004-8004-000000000003,a0000001-0001-4001-8001-000000000001,fin,Finans,a0000004-0004-4004-8004-000000000001,,,canias,CAN-DEP-FIN,true
a0000004-0004-4004-8004-000000000004,a0000001-0001-4001-8001-000000000001,sat,Satış,a0000004-0004-4004-8004-000000000001,,,,,true
a0000004-0004-4004-8004-000000000005,a0000001-0001-4001-8001-000000000001,paz,Pazarlama,a0000004-0004-4004-8004-000000000001,,,,,true
a0000004-0004-4004-8004-000000000006,a0000001-0001-4001-8001-000000000001,urt,Operasyon/Üretim,a0000004-0004-4004-8004-000000000001,,,canias,CAN-DEP-URT,true
a0000004-0004-4004-8004-000000000007,a0000001-0001-4001-8001-000000000001,satin,Satınalma,a0000004-0004-4004-8004-000000000001,,,canias,CAN-DEP-SATIN,true
a0000004-0004-4004-8004-000000000008,a0000001-0001-4001-8001-000000000001,loj,Lojistik,a0000004-0004-4004-8004-000000000001,,,canias,CAN-DEP-LOJ,true
a0000004-0004-4004-8004-000000000009,a0000001-0001-4001-8001-000000000001,kal,Kalite/İSG,a0000004-0004-4004-8004-000000000001,,,,,true
a0000004-0004-4004-8004-000000000010,a0000001-0001-4001-8001-000000000001,bt,BT,a0000004-0004-4004-8004-000000000001,,,,,true
a0000004-0004-4004-8004-000000000011,a0000001-0001-4001-8001-000000000001,arge,Ar-Ge,a0000004-0004-4004-8004-000000000001,,,,,true
a0000004-0004-4004-8004-000000000012,a0000001-0001-4001-8001-000000000001,mop,Müşteri Operasyonları,a0000004-0004-4004-8004-000000000001,,,,,true
