target_table,id,tenant_id,name,description,weight,scale_min,scale_max,sort_order,is_active,category_code,category_name,weight_pct,band,label,min_score,max_score,employee_id,source_module,skill_topic,need_level,priority,status,current_step,target_step,readiness_score,missing_competencies
competency_templates,a0000021-0021-4021-8021-000000000001,a0000001-0001-4001-8001-000000000001,İletişim,Etkili iletişim becerileri,1,1,5,1,true,,,,,,,,,,,,,,,,,
competency_templates,a0000021-0021-4021-8021-000000000002,a0000001-0001-4001-8001-000000000001,Takım Çalışması,Ekip içi iş birliği,1,1,5,2,true,,,,,,,,,,,,,,,,,
competency_templates,a0000021-0021-4021-8021-000000000003,a0000001-0001-4001-8001-000000000001,Problem Çözme,Analitik problem çözme,1,1,5,3,true,,,,,,,,,,,,,,,,,
competency_templates,a0000021-0021-4021-8021-000000000004,a0000001-0001-4001-8001-000000000001,Liderlik,Ekip yönetimi ve koçluk,1,1,5,4,true,,,,,,,,,,,,,,,,,
competency_templates,a0000021-0021-4021-8021-000000000005,a0000001-0001-4001-8001-000000000001,Teknik Uzmanlık,Alana özgü teknik bilgi,1,1,5,5,true,,,,,,,,,,,,,,,,,
competency_templates,a0000021-0021-4021-8021-000000000006,a0000001-0001-4001-8001-000000000001,Müşteri Odaklılık,Müşteri ihtiyaçlarını anlama,1,1,5,6,true,,,,,,,,,,,,,,,,,
competency_templates,a0000021-0021-4021-8021-000000000007,a0000001-0001-4001-8001-000000000001,Planlama,İş planlama ve önceliklendirme,1,1,5,7,true,,,,,,,,,,,,,,,,,
competency_templates,a0000021-0021-4021-8021-000000000008,a0000001-0001-4001-8001-000000000001,Kalite Bilinci,Kalite standartlarına uyum,1,1,5,8,true,,,,,,,,,,,,,,,,,
competency_templates,a0000021-0021-4021-8021-000000000009,a0000001-0001-4001-8001-000000000001,İnovasyon,Yenilikçi yaklaşım,1,1,5,9,true,,,,,,,,,,,,,,,,,
competency_templates,a0000021-0021-4021-8021-000000000010,a0000001-0001-4001-8001-000000000001,Uyum,Değişime adaptasyon,1,1,5,10,true,,,,,,,,,,,,,,,,,
kpi_category_weights,a0000021-0021-4021-8021-000000000101,a0000001-0001-4001-8001-000000000001,,,,,,1,true,FIN,Finansal,30,,,,,,,,,,,,,,
kpi_category_weights,a0000021-0021-4021-8021-000000000102,a0000001-0001-4001-8001-000000000001,,,,,,2,true,OPS,Operasyonel,25,,,,,,,,,,,,,,
kpi_category_weights,a0000021-0021-4021-8021-000000000103,a0000001-0001-4001-8001-000000000001,,,,,,3,true,CUS,Müşteri,20,,,,,,,,,,,,,,
kpi_category_weights,a0000021-0021-4021-8021-000000000104,a0000001-0001-4001-8001-000000000001,,,,,,4,true,PPL,İnsan,15,,,,,,,,,,,,,,
kpi_category_weights,a0000021-0021-4021-8021-000000000105,a0000001-0001-4001-8001-000000000001,,,,,,5,true,INN,İnovasyon,10,,,,,,,,,,,,,,
score_bands,a0000021-0021-4021-8021-000000000201,a0000001-0001-4001-8001-000000000001,,,,,,1,true,,,,very_good,Çok İyi,90,100,,,,,,,,,,
score_bands,a0000021-0021-4021-8021-000000000202,a0000001-0001-4001-8001-000000000001,,,,,,2,true,,,,good,İyi,75,89.99,,,,,,,,,,
score_bands,a0000021-0021-4021-8021-000000000203,a0000001-0001-4001-8001-000000000001,,,,,,3,true,,,,expected,Beklenen,60,74.99,,,,,,,,,,
score_bands,a0000021-0021-4021-8021-000000000204,a0000001-0001-4001-8001-000000000001,,,,,,4,true,,,,development,Gelişim,40,59.99,,,,,,,,,,
score_bands,a0000021-0021-4021-8021-000000000205,a0000001-0001-4001-8001-000000000001,,,,,,5,true,,,,risk,Risk,0,39.99,,,,,,,,,,
training_needs,a0000021-0021-4021-8021-000000000301,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000001,performance,Kaynak planlama,recommended,1,open,,,,
training_needs,a0000021-0021-4021-8021-000000000302,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000005,performance,SAP Canias,recommended,2,open,,,,
training_needs,a0000021-0021-4021-8021-000000000303,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000009,performance,Excel ileri,recommended,3,open,,,,
training_needs,a0000021-0021-4021-8021-000000000304,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000013,performance,Proje yönetimi,recommended,4,open,,,,
training_needs,a0000021-0021-4021-8021-000000000305,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000017,performance,İngilizce B2,recommended,5,open,,,,
training_needs,a0000021-0021-4021-8021-000000000306,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000021,performance,Statik kalite kontrol,recommended,1,open,,,,
training_needs,a0000021-0021-4021-8021-000000000307,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000025,performance,Forklift güvenliği,recommended,2,open,,,,
training_needs,a0000021-0021-4021-8021-000000000308,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000029,performance,CRM kullanımı,recommended,3,open,,,,
training_needs,a0000021-0021-4021-8021-000000000309,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000033,performance,SQL temel,recommended,4,open,,,,
training_needs,a0000021-0021-4021-8021-000000000310,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000037,performance,Sunum becerileri,recommended,5,open,,,,
training_needs,a0000021-0021-4021-8021-000000000311,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000041,performance,Zaman yönetimi,recommended,1,open,,,,
training_needs,a0000021-0021-4021-8021-000000000312,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000045,performance,Arıza giderme,recommended,2,open,,,,
training_needs,a0000021-0021-4021-8021-000000000313,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000049,performance,Satış müzakere,recommended,3,open,,,,
training_needs,a0000021-0021-4021-8021-000000000314,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000053,performance,Bütçe planlama,recommended,4,open,,,,
training_needs,a0000021-0021-4021-8021-000000000315,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000057,performance,Ekip koçluğu,recommended,5,open,,,,
training_needs,a0000021-0021-4021-8021-000000000316,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000061,performance,Kaynak planlama,recommended,1,open,,,,
training_needs,a0000021-0021-4021-8021-000000000317,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000065,performance,SAP Canias,recommended,2,open,,,,
training_needs,a0000021-0021-4021-8021-000000000318,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000069,performance,Excel ileri,recommended,3,open,,,,
training_needs,a0000021-0021-4021-8021-000000000319,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000073,performance,Proje yönetimi,recommended,4,open,,,,
training_needs,a0000021-0021-4021-8021-000000000320,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000077,performance,İngilizce B2,recommended,5,open,,,,
training_needs,a0000021-0021-4021-8021-000000000321,a0000001-0001-4001-8001-000000000001,,,,,,,,,,,,,,,a0000006-0006-4006-8006-000000000081,performance,Statik kalite kontrol,recommended,1,open,,,,
