id,tenant_id,code,name,department_id,level,parent_position_id,employment_type,norm_headcount,external_source,external_position_id,is_active
a0000005-0005-4005-8005-000000000001,a0000001-0001-4001-8001-000000000001,gm,Genel Müdür,a0000004-0004-4004-8004-000000000001,6,,full_time,1,,,true
a0000005-0005-4005-8005-000000000002,a0000001-0001-4001-8001-000000000001,gm_y,Yönetim Asistanı,a0000004-0004-4004-8004-000000000001,4,,full_time,1,,,true
a0000005-0005-4005-8005-000000000003,a0000001-0001-4001-8001-000000000001,ik_m,İK Müdürü,a0000004-0004-4004-8004-000000000002,5,,full_time,1,,,true
a0000005-0005-4005-8005-000000000004,a0000001-0001-4001-8001-000000000001,ik_u,İK Uzmanı,a0000004-0004-4004-8004-000000000002,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000005,a0000001-0001-4001-8001-000000000001,ik_as,İK Asistanı,a0000004-0004-4004-8004-000000000002,2,,full_time,1,,,true
a0000005-0005-4005-8005-000000000006,a0000001-0001-4001-8001-000000000001,fin_m,Finans Müdürü,a0000004-0004-4004-8004-000000000003,5,,full_time,1,canias,CAN-POS-FIN-M,true
a0000005-0005-4005-8005-000000000007,a0000001-0001-4001-8001-000000000001,fin_u,Finans Uzmanı,a0000004-0004-4004-8004-000000000003,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000008,a0000001-0001-4001-8001-000000000001,fin_mh,Muhasebe Uzmanı,a0000004-0004-4004-8004-000000000003,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000009,a0000001-0001-4001-8001-000000000001,sat_m,Satış Müdürü,a0000004-0004-4004-8004-000000000004,5,,full_time,1,,,true
a0000005-0005-4005-8005-000000000010,a0000001-0001-4001-8001-000000000001,sat_mh,Satış Mühendisi,a0000004-0004-4004-8004-000000000004,4,,full_time,1,,,true
a0000005-0005-4005-8005-000000000011,a0000001-0001-4001-8001-000000000001,sat_t,Satış Temsilcisi,a0000004-0004-4004-8004-000000000004,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000012,a0000001-0001-4001-8001-000000000001,sat_dst,Satış Destek Uzmanı,a0000004-0004-4004-8004-000000000004,2,,full_time,1,,,true
a0000005-0005-4005-8005-000000000013,a0000001-0001-4001-8001-000000000001,paz_m,Pazarlama Müdürü,a0000004-0004-4004-8004-000000000005,5,,full_time,1,,,true
a0000005-0005-4005-8005-000000000014,a0000001-0001-4001-8001-000000000001,paz_u,Pazarlama Uzmanı,a0000004-0004-4004-8004-000000000005,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000015,a0000001-0001-4001-8001-000000000001,urt_m,Üretim Müdürü,a0000004-0004-4004-8004-000000000006,5,,full_time,1,canias,CAN-POS-URT-M,true
a0000005-0005-4005-8005-000000000016,a0000001-0001-4001-8001-000000000001,urt_s,Üretim Şefi,a0000004-0004-4004-8004-000000000006,4,,full_time,1,,,true
a0000005-0005-4005-8005-000000000017,a0000001-0001-4001-8001-000000000001,urt_op,Üretim Operatörü,a0000004-0004-4004-8004-000000000006,2,,full_time,1,,,true
a0000005-0005-4005-8005-000000000018,a0000001-0001-4001-8001-000000000001,urt_tek,Teknisyen,a0000004-0004-4004-8004-000000000006,3,,full_time,1,canias,CAN-POS-URT-TEK,true
a0000005-0005-4005-8005-000000000019,a0000001-0001-4001-8001-000000000001,urt_kal,Kalite Kontrol Operatörü,a0000004-0004-4004-8004-000000000006,2,,full_time,1,,,true
a0000005-0005-4005-8005-000000000020,a0000001-0001-4001-8001-000000000001,satin_m,Satınalma Müdürü,a0000004-0004-4004-8004-000000000007,5,,full_time,1,,,true
a0000005-0005-4005-8005-000000000021,a0000001-0001-4001-8001-000000000001,satin_u,Satınalma Uzmanı,a0000004-0004-4004-8004-000000000007,3,,full_time,1,canias,CAN-POS-SATIN-U,true
a0000005-0005-4005-8005-000000000022,a0000001-0001-4001-8001-000000000001,satin_an,Satınalma Analisti,a0000004-0004-4004-8004-000000000007,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000023,a0000001-0001-4001-8001-000000000001,loj_m,Lojistik Müdürü,a0000004-0004-4004-8004-000000000008,5,,full_time,1,,,true
a0000005-0005-4005-8005-000000000024,a0000001-0001-4001-8001-000000000001,loj_u,Lojistik Uzmanı,a0000004-0004-4004-8004-000000000008,3,,full_time,1,canias,CAN-POS-LOJ-U,true
a0000005-0005-4005-8005-000000000025,a0000001-0001-4001-8001-000000000001,loj_op,Depo Operatörü,a0000004-0004-4004-8004-000000000008,2,,full_time,1,,,true
a0000005-0005-4005-8005-000000000026,a0000001-0001-4001-8001-000000000001,loj_pln,Sevkiyat Planlama Uzmanı,a0000004-0004-4004-8004-000000000008,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000027,a0000001-0001-4001-8001-000000000001,kal_m,Kalite Müdürü,a0000004-0004-4004-8004-000000000009,5,,full_time,1,,,true
a0000005-0005-4005-8005-000000000028,a0000001-0001-4001-8001-000000000001,kal_u,Kalite Uzmanı,a0000004-0004-4004-8004-000000000009,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000029,a0000001-0001-4001-8001-000000000001,isg_u,İSG Uzmanı,a0000004-0004-4004-8004-000000000009,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000030,a0000001-0001-4001-8001-000000000001,bt_m,BT Müdürü,a0000004-0004-4004-8004-000000000010,5,,full_time,1,,,true
a0000005-0005-4005-8005-000000000031,a0000001-0001-4001-8001-000000000001,bt_u,BT Uzmanı,a0000004-0004-4004-8004-000000000010,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000032,a0000001-0001-4001-8001-000000000001,bt_dev,Yazılım Geliştirici,a0000004-0004-4004-8004-000000000010,3,,full_time,1,,,true
a0000005-0005-4005-8005-000000000033,a0000001-0001-4001-8001-000000000001,arge_m,Ar-Ge Müdürü,a0000004-0004-4004-8004-000000000011,5,,full_time,1,,,true
a0000005-0005-4005-8005-000000000034,a0000001-0001-4001-8001-000000000001,arge_u,Ar-Ge Mühendisi,a0000004-0004-4004-8004-000000000011,4,,full_time,1,,,true
a0000005-0005-4005-8005-000000000035,a0000001-0001-4001-8001-000000000001,mop_m,Müşteri Ops Müdürü,a0000004-0004-4004-8004-000000000012,5,,full_time,1,,,true
a0000005-0005-4005-8005-000000000036,a0000001-0001-4001-8001-000000000001,mop_u,Müşteri Temsilcisi,a0000004-0004-4004-8004-000000000012,3,,full_time,1,,,true
