id,tenant_id,employee_id,legal_entity_id,starts_on,is_active,source
a0000008-0008-4008-8008-000000000001,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000001,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000002,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000002,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000003,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000003,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000004,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000004,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000005,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000005,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000006,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000006,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000007,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000007,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000008,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000008,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000009,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000009,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000010,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000010,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000011,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000011,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000012,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000012,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000013,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000013,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000014,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000014,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000015,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000015,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000016,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000016,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000017,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000017,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000018,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000018,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000019,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000019,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000020,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000020,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000021,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000021,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000022,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000022,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
a0000008-0008-4008-8008-000000000023,a0000001-0001-4001-8001-000000000001,a0000006-0006-4006-8006-000000000023,a0000002-0002-4002-8002-000000000001,2026-01-01,true,bootstrap
