id,tenant_id,legal_entity_id,parent_cost_center_id,code,name,source_namespace_id,external_id,is_active
a0000010-0010-4010-8010-000000000001,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-GM,Genel Yönetim Giderleri,,,true
a0000010-0010-4010-8010-000000000002,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-IK,İK Giderleri,,,true
a0000010-0010-4010-8010-000000000003,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-FIN,Finans Giderleri,a0000018-0018-4018-8018-000000000001,CAN-CC-CC-FIN,true
a0000010-0010-4010-8010-000000000004,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-SAT,Satış Giderleri,,,true
a0000010-0010-4010-8010-000000000005,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-PAZ,Pazarlama Giderleri,,,true
a0000010-0010-4010-8010-000000000006,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-URT,Üretim Giderleri,a0000018-0018-4018-8018-000000000001,CAN-CC-CC-URT,true
a0000010-0010-4010-8010-000000000007,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-SATIN,Satınalma Giderleri,a0000018-0018-4018-8018-000000000001,CAN-CC-CC-SATIN,true
a0000010-0010-4010-8010-000000000008,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-LOJ,Lojistik Giderleri,a0000018-0018-4018-8018-000000000001,CAN-CC-CC-LOJ,true
a0000010-0010-4010-8010-000000000009,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-KAL,Kalite Giderleri,,,true
a0000010-0010-4010-8010-000000000010,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-BT,BT Giderleri,,,true
a0000010-0010-4010-8010-000000000011,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-ARGE,Ar-Ge Giderleri,,,true
a0000010-0010-4010-8010-000000000012,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-MOP,Müşteri Ops Giderleri,,,true
a0000010-0010-4010-8010-000000000013,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-IST,İstanbul Merkez,,,true
a0000010-0010-4010-8010-000000000014,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-BRS,Bursa Tesis,,,true
a0000010-0010-4010-8010-000000000015,a0000001-0001-4001-8001-000000000001,a0000002-0002-4002-8002-000000000001,,CC-IZM,İzmir Ofis,,,true
