id,tenant_id,source_namespace_id,entity_type,external_id,canonical_schema,canonical_table,canonical_id,is_active
a0000019-0019-4019-8019-000000000001,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,department,CAN-DEP-FIN,puls_core,departments,a0000004-0004-4004-8004-000000000003,true
a0000019-0019-4019-8019-000000000002,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,department,CAN-DEP-URT,puls_core,departments,a0000004-0004-4004-8004-000000000006,true
a0000019-0019-4019-8019-000000000003,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,department,CAN-DEP-SATIN,puls_core,departments,a0000004-0004-4004-8004-000000000007,true
a0000019-0019-4019-8019-000000000004,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,department,CAN-DEP-LOJ,puls_core,departments,a0000004-0004-4004-8004-000000000008,true
a0000019-0019-4019-8019-000000000005,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,position,CAN-POS-FIN-M,puls_core,positions,a0000005-0005-4005-8005-000000000006,true
a0000019-0019-4019-8019-000000000006,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,position,CAN-POS-URT-M,puls_core,positions,a0000005-0005-4005-8005-000000000015,true
a0000019-0019-4019-8019-000000000007,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,position,CAN-POS-URT-TEK,puls_core,positions,a0000005-0005-4005-8005-000000000018,true
a0000019-0019-4019-8019-000000000008,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,position,CAN-POS-SATIN-U,puls_core,positions,a0000005-0005-4005-8005-000000000021,true
a0000019-0019-4019-8019-000000000009,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,position,CAN-POS-LOJ-U,puls_core,positions,a0000005-0005-4005-8005-000000000024,true
a0000019-0019-4019-8019-000000000010,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,cost_center,CAN-CC-CC-FIN,puls_core,cost_centers,a0000010-0010-4010-8010-000000000003,true
a0000019-0019-4019-8019-000000000011,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,cost_center,CAN-CC-CC-URT,puls_core,cost_centers,a0000010-0010-4010-8010-000000000006,true
a0000019-0019-4019-8019-000000000012,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,cost_center,CAN-CC-CC-SATIN,puls_core,cost_centers,a0000010-0010-4010-8010-000000000007,true
a0000019-0019-4019-8019-000000000013,a0000001-0001-4001-8001-000000000001,a0000018-0018-4018-8018-000000000001,cost_center,CAN-CC-CC-LOJ,puls_core,cost_centers,a0000010-0010-4010-8010-000000000008,true
